"country","AreaName","RegName","incomeperperson","alcconsumption","armedforcesrate","breastcancerper100th","co2emissions","femaleemployrate","hivrate","internetuserate","lifeexpectancy","polityscore","relectricperperson","suicideper100th","employrate","urbanrate","Religion"
"Sweden","Europe","Northern Europe","32292.48298","9.5","0.3520917","87.8","4286590000","56.70000076","0.1","90.01619002","81.439","10","4304.514402","11.11583","60.70000076","84.54","Christianity"
"Switzerland","Europe","Western Europe","37662.75125","11.41","0.52422","81.7","2406741333","57","0.4","82.16665988","82.338","10","2361.033336","13.23981","64.30000305","73.48","Christianity"
"Syria","Asia","Western Asia","1525.780116","1.49","5.9558471","44.8","1436893333","16.70000076","","20.66315568","75.85","-7","815.0310909","0.523527563","44.79999924","54.22","Islam"
"Tajikistan","Asia","Central Asia","279.1804526","3.39","0.6048733","13.2","104170000","50.09999847","0.2","11.54939051","67.529","-3","405.7753854","2.648980856","54.59999847","26.46","Islam"
"Tanzania","Africa","Southern Africa","456.3857117","7.86","0.1347296","21.1","100782000","76.09999847","5.6","11.00005544","58.199","-1","38.63450298","12.41118145","78.19999695","25.52","Christianity"
"Thailand","Asia","South-Eastern Asia","2712.517199","7.08","1.0936515","16.6","4200940333","65","1.3","21.20007177","74.126","4","439.5897318","9.847459793","72","33.32","Buddhism"
"Timor-Leste","Asia","Northern Asia","369.5729537","0.74","0.2342862","","850666.6667","54.70000076","","0.210066326","62.475","7","","9.633114815","67.30000305","27.3","Christianity"
"Togo","Africa","Western Africa","285.2244493","1.92","0.3400308","28.1","32233666.67","48.40000153","3.2","5.379819715","57.062","-4","66.23852193","6.369887829","63.90000153","42","Christianity"
"Trinidad and Tobago","Latin America and the Caribbean","Caribbean","10480.8172","6.16","0.581165","51.1","","50.5","1.5","48.51681767","70.124","10","2261.316713","14.54716682","61.5","13.22","Christianity"
"Tunisia","Africa","Northern Africa","3164.927693","1.05","1.266624","19.6","525891666.7","21.39999962","0.06","36.56255296","74.515","-4","325.8395608","3.146814108","41.59999847","66.5","Islam"
"Turkey","Asia","Western Asia","5348.597192","3.02","2.3794147","22","5675629667","21.89999962","0.06","39.82017789","73.979","7","550.6966103","3.56332469","42.79999924","68.68","Islam"
"Turkmenistan","Asia","Central Asia","2062.125152","5","0.9314175","17.9","531303666.7","53.90000153","","2.199997818","64.986","-9","351.1665941","12.21676922","58.5","48.62","Islam"
"Uganda","Africa","Eastern Africa","377.4211133","16.4","0.3445177","18.3","49793333.33","80","6.5","12.50025543","54.116","-1","","12.28912163","83.19999695","12.98","Christianity"
"Ukraine","Europe","Eastern Europe","1036.830725","17.47","0.9311688","39.9","5584766000","49.40000153","1.1","44.58535469","68.494","7","673.584861","18.95457","54.40000153","67.98","Christianity"
"United Arab Emirates","Asia","Western Asia","21087.39412","0.52","1.8124763","24.1","2315698000","37.29999924","","77.99678115","76.546","-8","11154.75503","1.392950654","75.19999695","77.88","Islam"
"United Kingdom","Europe","Northern Europe","28033.48928","13.24","0.5080181","87.2","72524250333","53.09999847","0.2","84.73170475","80.17","10","1933.945615","6.014659","59.29999924","89.94","Christianity"
"United States","Northern America","Northern America","37491.17952","9.7","0.9723782","101.1","334000000000","56","0.6","74.247572","78.531","10","4542.848695","9.927033","62.29999924","81.7","Christianity"
"Uruguay","Latin America and the Caribbean","South America","9106.327234","8.99","1.5793413","83.1","275744333.3","46","0.5","47.86746863","77.005","10","823.8231975","14.53727","57.5","92.3","Christianity"
"Uzbekistan","Asia","Central Asia","952.8272608","3.61","0.7096295","17.3","1718339333","52.59999847","0.1","19.44502055","68.287","-9","261.4339532","5.21372","57.5","36.82","Islam"
"Vanuatu","Oceania","Melanesia","1543.956457","0.96","","24","2977333.333","","","7.988366667","71.017","","","4.983421803","","24.76","Christianity"
"Venezuela","Latin America and the Caribbean","South America","5528.363114","7.6","0.9040245","34.3","5418886000","45.79999924","","35.85043696","74.402","-3","969.0043388","4.11962","59.90000153","93.32","Christianity"
"Vietnam","Asia","South-Eastern Asia","722.8075588","3.91","1.0853671","16.2","1425435000","67.59999847","0.4","27.85182156","75.181","-7","302.7256547","11.65332222","71","27.84","Folk Religions"
"Yemen, Republic","Asia","Western Asia","610.3573673","0.2","2.3162346","35.1","234864666.7","20.29999924","","12.34975046","65.493","-2","130.0578314","6.265789032","39","30.64","Islam"
"Zambia","Africa","Eastern Africa","432.226337","3.56","0.3413352","13","132025666.7","53.5","13.5","10.12498646","49.025","7","168.6230305","12.01903629","61","35.42","Christianity"
"Zimbabwe","Africa","Eastern Africa","320.7718899","4.96","1.0327854","19","590219666.7","58.09999847","14.3","11.50041532","51.384","1","297.8832004","13.90526676","66.80000305","37.34","Christianity"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
